m2,date,price,floor,,,
156.99,20190503,1925000000,6,,,
156.99,20190507,1900000000,6,,,
156.99,20190523,1980000000,2,,,
118.12,20190524,1640000000,4,,,
118.12,20190525,1610000000,1,,,
118.12,20190528,1510000000,12,,,
79.24,20190606,1295000000,4,,,
79.24,20190606,1300000000,6,,,
118.12,20190617,1650000000,4,,,
79.24,20190622,1300000000,11,,,
60.96,20190628,1100000000,6,,,
118.12,20190709,1675000000,1,,,
156.99,20190719,2000000000,2,,,
79.24,20190727,1415000000,7,,,
156.99,20190729,1550000000,7,,,
60.96,20190926,1180000000,12,,,
79.24,20191007,1370000000,9,,,
79.24,20191007,1470000000,6,,,
60.96,20191008,1150000000,5,,,
156.99,20191011,2145000000,12,,,
79.24,20191021,1405000000,4,,,
79.24,20191024,1480000000,6,,,
118.12,20191109,1860000000,6,,,
79.24,20191114,1480000000,12,,,
156.99,20191120,2200000000,12,,,
118.12,20191123,1900000000,5,,,
118.12,20191127,1940000000,9,,,
118.12,20191128,1930000000,10,,,
118.12,20191214,1950000000,7,,,
79.24,20191214,1600000000,11,,,
79.24,20200312,1480000000,9,,,
156.99,20200515,1930000000,1,,,
79.24,20200522,1435000000,8,,,
79.24,20200601,1400000000,10,,,
60.96,20200601,1100000000,13,,,
118.12,20200601,1730000000,6,,,
79.24,20200602,1400000000,8,,,
156.99,20200602,1990000000,7,,,
156.99,20200602,1950000000,1,,,
156.99,20200602,2150000000,8,,,
60.96,20200602,1090000000,5,,,
60.96,20200602,1120000000,13,,,
60.96,20200602,1090000000,9,,,
60.96,20200603,1125000000,2,,,
79.24,20200603,1390000000,1,,,
118.12,20200603,1800000000,6,,,
118.12,20200604,1770000000,8,,,
118.12,20200605,1720000000,10,,,
60.96,20200605,1110000000,9,,,
79.24,20200608,1440000000,3,,,
156.99,20200608,2110000000,5,,,
79.24,20200608,1400000000,3,,,
79.24,20200608,1500000000,5,,,
79.24,20200610,1450000000,4,,,
79.24,20200613,1450000000,4,,,
79.24,20200620,1480000000,9,,,
156.99,20200620,2270000000,1,,,
79.24,20200620,1530000000,2,,,
79.24,20200623,1500000000,1,,,
60.96,20200623,1200000000,6,,,
118.12,20200625,2000000000,8,,,
79.24,20200629,1580000000,11,,,
118.12,20200703,2000000000,8,,,
60.96,20200708,1375000000,12,,,
60.96,20200709,1367000000,10,,,
60.96,20200715,1380000000,10,,,
60.96,20200717,1370000000,11,,,
79.24,20200721,1610000000,10,,,
156.99,20200723,2600000000,7,,,
79.24,20200731,1660000000,9,,,
79.24,20200807,1700000000,11,,,
79.24,20200808,1540000000,12,,,
79.24,20200831,1250000000,1,,,
60.96,20200924,1390000000,2,,,
118.12,20200925,1950000000,6,,,
79.24,20200925,1660000000,10,,,
118.12,20201103,1940000000,4,,,
118.12,20201106,1950000000,11,,,
118.12,20201125,1890000000,6,,,
118.12,20201126,1890000000,5,,,
118.12,20201201,1942000000,10,,,
79.24,20201201,1570000000,7,,,
118.12,20201203,1950000000,11,,,
79.24,20201220,1600000000,2,,,
60.96,20201221,1385000000,10,,,
156.99,20201223,2500000000,9,,,
156.99,20201229,2550000000,4,,,
79.24,20210106,1680000000,3,,,
156.99,20210108,2627000000,6,,,
79.24,20210109,1570000000,7,,,
79.24,20210109,1630000000,3,,,
79.24,20210112,1660000000,3,,,
79.24,20210120,1675000000,1,,,
79.24,20210123,1700000000,12,,,
156.99,20210127,2700000000,8,,,
118.12,20210129,2130000000,7,,,
79.24,20210202,1805000000,11,,,
79.24,20210203,1660000000,10,,,
156.99,20210204,2700000000,3,,,
118.12,20210204,2200000000,5,,,
79.24,20210208,1690000000,11,,,
156.99,20210210,2780000000,7,,,
79.24,20210215,1730000000,6,,,
79.24,20210302,1780000000,10,,,
79.24,20210308,1770000000,1,,,
79.24,20210310,1820000000,10,,,
79.24,20210315,1720000000,9,,,
79.24,20210320,1820000000,11,,,
156.99,20210327,2980000000,6,,,
118.12,20210403,2400000000,3,,,
79.24,20210406,1850000000,3,,,
79.24,20210414,1905000000,7,,,
156.99,20210415,2830000000,6,,,
118.12,20210415,2390000000,7,,,
118.12,20210421,2600000000,11,,,
118.12,20210629,2470000000,12,,-,-
156.99,20210716,2980000000,3,,-,-
156.99,20210723,3000000000,10,,-,-
156.99,20210902,2950000000,1,,-,-
156.99,20210908,3000000000,2,,-,-
79.24,20211020,2010000000,4,,-,-
156.99,20211026,3500000000,7,,-,-
60.96,20220505,1745000000,11,,중개거래,서울 영등포구
