m2,date,price,floor,,,
156.99,20090321,1200000000,11,,,
118.12,20090325,945000000,9,,,
60.96,20090326,580000000,13,,,
156.99,20090327,1140000000,3,,,
118.12,20090329,915000000,1,,,
156.99,20090330,1185000000,12,,,
60.96,20090401,585000000,11,,,
79.24,20090402,718000000,5,,,
79.24,20090402,720000000,2,,,
118.12,20090403,950000000,5,,,
118.12,20090404,970000000,12,,,
60.96,20090406,580000000,3,,,
156.99,20090407,1200000000,5,,,
79.24,20090408,700000000,7,,,
118.12,20090411,1000000000,3,,,
79.24,20090414,769000000,3,,,
79.24,20090417,765000000,8,,,
156.99,20090418,1240000000,2,,,
118.12,20090420,1000000000,3,,,
79.24,20090425,740000000,1,,,
79.24,20090425,770000000,11,,,
79.24,20090428,785000000,8,,,
156.99,20090430,1210000000,3,,,
118.12,20090430,1025000000,2,,,
60.96,20090501,620000000,7,,,
79.24,20090502,770000000,10,,,
79.24,20090505,737500000,1,,,
118.12,20090505,1050000000,3,,,
79.24,20090507,790000000,7,,,
79.24,20090507,760000000,10,,,
118.12,20090513,1120000000,8,,,
156.99,20090515,1280000000,12,,,
156.99,20090516,1300000000,11,,,
79.24,20090518,778000000,12,,,
118.12,20090520,1110000000,6,,,
79.24,20090520,800000000,12,,,
79.24,20090521,800000000,10,,,
79.24,20090521,800000000,11,,,
60.96,20090524,650000000,12,,,
60.96,20090524,650000000,8,,,
79.24,20090528,820000000,11,,,
79.24,20090529,780000000,12,,,
60.96,20090529,650000000,8,,,
156.99,20090601,1280000000,5,,,
156.99,20090602,1295000000,3,,,
79.24,20090608,782000000,1,,,
60.96,20090615,650000000,9,,,
79.24,20090616,820000000,1,,,
60.96,20090617,660000000,5,,,
79.24,20090618,770000000,11,,,
118.12,20090620,1180000000,13,,,
156.99,20090620,1400000000,10,,,
79.24,20090701,905000000,3,,,
79.24,20090702,910000000,3,,,
60.96,20090715,670000000,6,,,
156.99,20090722,1510000000,12,,,
